tree id,number of nodes,entropy,normalized entropy
0,4,1.5143029514736248,0.7571514757368124
1,3,1.208830175294948,0.7626869246085831
2,3,0.9912642605354289,0.6254181156238111
3,3,0.9912642605354289,0.6254181156238111
4,3,1.3250112108241772,0.8359889967247165
5,3,1.3250112108241772,0.8359889967247165
6,3,1.3250112108241772,0.8359889967247165
7,2,0.4394969869215134,0.4394969869215134
8,2,0.9940302114769565,0.9940302114769565
9,2,0.9940302114769565,0.9940302114769565
10,2,0.6500224216483541,0.6500224216483541
11,2,0.6500224216483541,0.6500224216483541
12,2,0.6500224216483541,0.6500224216483541
13,2,0.6500224216483541,0.6500224216483541
